STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTSbreweries
17,09,1709,Congressional District 9,C2,116,G5200,N,272986457,1558240,+42.0526844,-087.8101853,3
17,15,1715,Congressional District 15,C2,116,G5200,N,2147483647,353131952,+38.9051694,-088.4420793,4
47,08,4708,Congressional District 8,C2,116,G5200,N,2147483647,387103686,+35.8508609,-089.1018305,1
06,40,0640,Congressional District 40,C2,116,G5200,N,149408223,1743216,+33.9698668,-118.1792067,1
06,12,0612,Congressional District 12,C2,116,G5200,N,100885569,211661576,+37.7855141,-122.4340005,15
06,45,0645,Congressional District 45,C2,116,G5200,N,856078764,5161857,+33.7142584,-117.6683553,4
19,03,1903,Congressional District 3,C2,116,G5200,N,2147483647,156751435,+41.2095427,-094.6403809,15
13,11,1311,Congressional District 11,C2,116,G5200,N,-1521864120,70586962,+34.1804322,-084.6514936,6
13,12,1312,Congressional District 12,C2,116,G5200,N,2147483647,310156061,+32.4133308,-082.2238419,2
13,08,1308,Congressional District 8,C2,116,G5200,N,2147483647,298759475,+31.7798073,-083.4515115,0
06,04,0604,Congressional District 4,C2,116,G5200,N,2147483647,858297386,+37.9824523,-119.9279734,20
06,22,0622,Congressional District 22,C2,116,G5200,N,-1277607842,10371897,+36.4768778,-119.3895422,5
06,09,0609,Congressional District 9,C2,116,G5200,N,-1055257452,140669213,+38.0104060,-121.3065618,4
47,09,4709,Congressional District 9,C2,116,G5200,N,1252797745,53745455,+35.1676342,-089.9788605,7
47,06,4706,Congressional District 6,C2,116,G5200,N,2147483647,324676580,+36.1947713,-085.7784340,8
16,01,1601,Congressional District 1,C2,116,G5200,N,2147483647,1310417824,+45.2967502,-116.0358424,19
16,02,1602,Congressional District 2,C2,116,G5200,N,2147483647,1081304733,+43.4439256,-113.3642618,18
06,41,0641,Congressional District 41,C2,116,G5200,N,820299648,4159166,+33.9180748,-117.2974203,4
06,27,0627,Congressional District 27,C2,116,G5200,N,1812584403,7549848,+34.2650833,-117.9348875,5
06,17,0617,Congressional District 17,C2,116,G5200,N,480149991,21997291,+37.4410278,-121.9665776,4
06,14,0614,Congressional District 14,C2,116,G5200,N,672683232,827165077,+37.5748023,-122.4936563,6
41,04,4104,Congressional District 4,C2,116,G5200,N,2147483647,-2067550138,+43.4720025,-123.2731321,23
41,02,4102,Congressional District 2,C2,116,G5200,N,2147483647,1904150525,+43.8374944,-119.5968497,43
21,01,2101,Congressional District 1,C2,116,G5200,N,2147483647,1221417588,+37.0846029,-087.1849382,4
21,03,2103,Congressional District 3,C2,116,G5200,N,827821298,40946491,+38.1894013,-085.6974571,13
21,05,2105,Congressional District 5,C2,116,G5200,N,2147483647,312392707,+37.3688281,-083.5218984,3
21,04,2104,Congressional District 4,C2,116,G5200,N,2147483647,296600515,+38.5689729,-084.4370062,7
17,12,1712,Congressional District 12,C2,116,G5200,N,2147483647,462200658,+37.9933075,-089.4278909,5
17,08,1708,Congressional District 8,C2,116,G5200,N,532623690,10394846,+42.0096620,-088.0966499,7
06,02,0602,Congressional District 2,C2,116,G5200,N,2147483647,-172942708,+40.0940587,-123.4649741,24
06,38,0638,Congressional District 38,C2,116,G5200,N,262655737,3823181,+33.9394788,-118.0626041,2
01,01,0101,Congressional District 1,C2,116,G5200,N,2147483647,-2019292205,+31.0020519,-087.7879717,3
01,03,0103,Congressional District 3,C2,116,G5200,N,2147483647,471223121,+33.1505639,-085.7002277,2
01,05,0105,Congressional District 5,C2,116,G5200,N,2147483647,459955499,+34.7552973,-086.7118036,10
01,04,0104,Congressional District 4,C2,116,G5200,N,2147483647,573214646,+34.1181796,-087.2138079,5
01,07,0107,Congressional District 7,C2,116,G5200,N,2147483647,332882012,+32.4492349,-087.6405014,10
01,02,0102,Congressional District 2,C2,116,G5200,N,2147483647,303582941,+31.7020846,-086.0768417,2
01,06,0106,Congressional District 6,C2,116,G5200,N,2147483647,176793844,+33.2602125,-086.7134302,1
12,13,1213,Congressional District 13,C2,116,G5200,N,470709134,640204070,+27.8259163,-082.7264422,21
12,26,1226,Congressional District 26,C2,116,G5200,N,2147483647,2147483647,+25.1707427,-081.0952687,4
12,22,1222,Congressional District 22,C2,116,G5200,N,424130319,254083069,+26.2721076,-080.1252119,7
12,09,1209,Congressional District 9,C2,116,G5200,N,2147483647,798928316,+28.0353419,-081.2906169,3
12,19,1219,Congressional District 19,C2,116,G5200,N,1937060134,1603487946,+26.4316252,-081.9067678,13
29,01,2901,Congressional District 1,C2,116,G5200,N,582542737,28225242,+38.7283860,-090.2962282,13
29,03,2903,Congressional District 3,C2,116,G5200,N,2147483647,368043248,+38.5781714,-091.5631850,4
