STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,color,military
28,1,2801,Congressional District 1,C2,116,G5200,N,27384113095,408680692,34.1975177,-89.0035117,,22
28,3,2803,Congressional District 3,C2,116,G5200,N,33034077391,341749292,32.0149304,-89.7405887,,18
28,4,2804,Congressional District 4,C2,116,G5200,N,20834173560,-2076651865,30.9941864,-89.0903341,,15
28,2,2802,Congressional District 2,C2,116,G5200,N,40281155435,958174343,33.178215,-90.3514005,,24
34,1,3401,Congressional District 1,C2,116,G5200,N,907100845,51162830,39.7919748,-75.055921,,3
34,3,3403,Congressional District 3,C2,116,G5200,N,-1968134305,618205570,39.898974,-74.4763431,,5
34,10,3410,Congressional District 10,C2,116,G5200,N,196397289,12474852,40.7089641,-74.2090452,,2
34,4,3404,Congressional District 4,C2,116,G5200,N,1789674324,49701555,40.1650024,-74.3169967,,3
34,5,3405,Congressional District 5,C2,116,G5200,N,-1726527806,83673745,40.9738214,-75.134211,,6
34,7,3407,Congressional District 7,C2,116,G5200,N,-1782810953,47085986,40.6317476,-74.7895041,,6
34,2,3402,Congressional District 2,C2,116,G5200,N,5423847467,2034703850,39.3932996,-74.9072568,,11
34,9,3409,Congressional District 9,C2,116,G5200,N,246870811,19480622,40.8607823,-74.0738236,,1
34,11,3411,Congressional District 11,C2,116,G5200,N,1310058632,67984687,40.9020187,-74.450539,,3
34,6,3406,Congressional District 6,C2,116,G5200,N,557571516,503799396,40.3465672,-74.2150836,,0
34,12,3412,Congressional District 12,C2,116,G5200,N,1067381022,18504392,40.3742188,-74.574055,,2
32,1,3201,Congressional District 1,C2,116,G5200,N,270624142,16683,36.1335429,-115.1515423,,1
32,3,3203,Congressional District 3,C2,116,G5200,N,7378700260,102791046,35.6631939,-115.1539667,,6
32,4,3204,Congressional District 4,C2,116,G5200,N,1.32083E+11,628524268,38.0856467,-116.0264961,,18
32,2,3202,Congressional District 2,C2,116,G5200,N,1.44597E+11,1315874075,40.6511506,-117.3296838,,24
45,1,4501,Congressional District 1,C2,116,G5200,N,-281422444,-2098397843,32.7140628,-80.1606245,,6
45,3,4503,Congressional District 3,C2,116,G5200,N,13646022171,518916989,34.3577435,-82.3312067,,10
45,4,4504,Congressional District 4,C2,116,G5200,N,-930507530,44729109,34.9417009,-82.1701563,,5
45,5,4505,Congressional District 5,C2,116,G5200,N,14260689226,265732852,34.5302283,-81.0109378,,9
45,7,4507,Congressional District 7,C2,116,G5200,N,13869575083,958926941,34.0834783,-79.4988485,,18
45,2,4502,Congressional District 2,C2,116,G5200,N,7827497984,225271436,33.633062,-81.3792888,,6
45,6,4506,Congressional District 6,C2,116,G5200,N,20883129406,865071998,33.208208,-80.5239865,,14
53,1,5301,Congressional District 1,C2,116,G5200,N,16019836313,1097951634,48.3674893,-121.6579122,,9
53,3,5303,Congressional District 3,C2,116,G5200,N,23611085055,1219984100,46.2709146,-122.2622503,,15
38,0,3800,Congressional District (at Large),C1,116,G5200,N,1.78708E+11,4403267548,47.442174,-100.4608258,,89
56,0,5600,Congressional District (at Large),C1,116,G5200,N,2.51459E+11,1867670745,42.9896591,-107.5443922,,41
69,98,6998,Delegate District (at Large),C4,116,G5200,N,472292529,4644252461,14.9300771,145.6425305,,4
39,1,3901,Congressional District 1,C2,116,G5200,N,1779110527,26793491,39.3360198,-84.3468497,,3
39,7,3907,Congressional District 7,C2,116,G5200,N,10009974812,64567382,40.7432753,-82.467001,,15
39,2,3902,Congressional District 2,C2,116,G5200,N,8344038308,77170483,39.0188676,-83.5519463,,6
39,14,3914,Congressional District 14,C2,116,G5200,N,5064219099,-564683811,41.7511641,-81.0194752,,10
39,6,3906,Congressional District 6,C2,116,G5200,N,18685702709,202816758,39.7714087,-81.575039,,21
39,3,3903,Congressional District 3,C2,116,G5200,N,590732885,11274048,39.9662072,-82.947495,,2
39,10,3910,Congressional District 10,C2,116,G5200,N,-1369218448,15947647,39.7013631,-83.9586972,,8
39,4,3904,Congressional District 4,C2,116,G5200,N,12083214953,121559316,40.5169844,-84.5754759,,20
39,5,3905,Congressional District 5,C2,116,G5200,N,14571716547,73249833,41.155751,-84.0447886,,20
39,16,3916,Congressional District 16,C2,116,G5200,N,-1173072697,31141190,40.9821546,-81.7406039,,6
39,13,3913,Congressional District 13,C2,116,G5200,N,-1979679512,70792303,41.1496303,-80.9786969,,5
39,15,3915,Congressional District 15,C2,116,G5200,N,12273402700,99789977,39.5778602,-82.7562053,,16
39,11,3911,Congressional District 11,C2,116,G5200,N,633380874,1310812208,41.6137949,-81.5277187,,2
39,9,3909,Congressional District 9,C2,116,G5200,N,1202130654,4313138940,41.4032532,-82.5481185,,9
39,8,3908,Congressional District 8,C2,116,G5200,N,6344114806,42726671,39.8995752,-84.1608314,,9
39,12,3912,Congressional District 12,C2,116,G5200,N,5884212463,76786970,40.239323,-82.6136769,,6
51,1,5101,Congressional District 1,C2,116,G5200,N,10908524934,1767438169,37.8807201,-76.976288,,7
51,3,5103,Congressional District 3,C2,116,G5200,N,1619438767,406420212,36.9137548,-76.5694796,,2
51,10,5110,Congressional District 10,C2,116,G5200,N,-742945611,37324155,39.076162,-77.8559583,,4
51,5,5105,Congressional District 5,C2,116,G5200,N,25979630120,391890253,37.3323415,-78.723558,,13
51,4,5104,Congressional District 4,C2,116,G5200,N,9433257835,296483280,36.961749,-77.1577179,,7
51,7,5107,Congressional District 7,C2,116,G5200,N,8075545799,144698517,37.820184,-77.9024081,,8
51,2,5102,Congressional District 2,C2,116,G5200,N,-1436342724,5175504914,37.3937297,-75.9356016,,5
51,11,5111,Congressional District 11,C2,116,G5200,N,479342358,21326058,38.78906,-77.2946223,,0
51,9,5109,Congressional District 9,C2,116,G5200,N,23608647264,153447195,37.0008631,-81.3249946,,10
15,1,1501,Congressional District 1,C2,116,G5200,N,541359418,456759507,21.3226396,-157.9059542,,2
15,2,1502,Congressional District 2,C2,116,G5200,N,16092630777,11321049519,19.6941634,-156.044344,,12
26,1,2601,Congressional District 1,C2,116,G5200,N,64824717641,75782056342,46.1573045,-86.436912,,63
26,7,2607,Congressional District 7,C2,116,G5200,N,10950537365,526028591,42.0936084,-84.3049549,,22
26,2,2602,Congressional District 2,C2,116,G5200,N,8644760241,7325050525,43.3975406,-86.3188626,,14
26,6,2606,Congressional District 6,C2,116,G5200,N,9188279377,-229115032,42.1640521,-86.1560519,,17
26,14,2614,Congressional District 14,C2,116,G5200,N,480339355,97940449,42.5612521,-83.438725,,1
26,3,2603,Congressional District 3,C2,116,G5200,N,6811523115,176750939,42.7200275,-85.2372759,,10
26,10,2610,Congressional District 10,C2,116,G5200,N,10732439902,5435442796,43.4559041,-82.8824074,,24
26,5,2605,Congressional District 5,C2,116,G5200,N,6083376419,4835570030,43.5744457,-84.1628756,,12
26,4,2604,Congressional District 4,C2,116,G5200,N,21907203534,520053991,43.7315525,-84.7503993,,42
26,13,2613,Congressional District 13,C2,116,G5200,N,478918323,5374636,42.3513749,-83.4300532,,1
26,ZZ,26ZZ,Congressional Districts not defined,0,116,G5200,F,0,4875244623,42.498499,-82.871962,,0
26,11,2611,Congressional District 11,C2,116,G5200,N,1085687168,55726229,42.5300018,-83.4539962,,4
