ALAND,AWATER,CD116FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,NUMPOINTSairports,STATEFP,amtrak,breweries,fairgrounds,farms,fortune,hospitals,military,mobilehome,museums,result,sportsvenues,starbucks,amtrak_alpha_pct,breweries_alpha_pct,fairgrounds_alpha_pct,fortune_alpha_pct,hospitals_alpha_pct,mobilehome_alpha_pct,museums_alpha_pct,sportsvenues_alpha_pct,starbucks_alpha_pct,farms_alpha_pct,military_alpha_pct
2147483647,30779288,25,116,N,0625,+34.5880620,-118.2802639,C2,G5200,Congressional District 25,2,06,1,6,0,505,0,3,1,98,17,,0,49,21.25,22.5,0.0,0.0,9.935064935064934,47.50950570342206,14.306930693069306,0.0,90.54347826086958,3.592050209205021,12.142857142857142
2147483647,1106343072,04,116,N,2204,+31.7920472,-093.1796062,C2,G5200,Congressional District 4,17,22,0,2,1,7545,0,44,3,208,78,R,1,12,0.0,7.5,63.75,0.0,145.7142857142857,100.83650190114068,65.64356435643565,31.875,22.17391304347826,53.66736401673641,36.42857142857142
-1009793170,522407749,02,116,N,2202,+30.0467435,-090.5684985,C2,G5200,Congressional District 2,4,22,1,11,0,404,1,32,2,75,83,D,7,14,21.25,41.25,0.0,7.083333333333333,105.97402597402598,36.35931558935361,69.85148514851485,223.125,25.869565217391305,2.873640167364017,24.285714285714285
2147483647,1012577737,06,116,N,2206,+30.2957806,-091.0085262,C2,G5200,Congressional District 6,3,22,1,2,1,2289,0,31,1,246,56,R,3,14,21.25,7.5,63.75,0.0,102.66233766233766,119.25855513307985,47.12871287128713,95.625,25.869565217391305,16.281589958158996,12.142857142857142
2147483647,228600914,01,116,N,1901,+42.5273374,-091.8962804,C2,G5200,Congressional District 1,28,19,0,14,0,22478,1,29,0,95,189,D,1,20,0.0,52.5,0.0,7.083333333333333,96.03896103896105,46.055133079847906,159.05940594059405,31.875,36.95652173913044,159.88535564853558,0.0
321864855,5293443,32,116,N,0632,+34.0895637,-117.9141422,C2,G5200,Congressional District 32,2,06,0,7,0,58,0,10,0,91,28,D,0,45,0.0,26.25,0.0,0.0,33.116883116883116,44.11596958174905,23.564356435643564,0.0,83.15217391304348,0.4125523012552301,0.0
186580878,555893,43,116,N,0643,+33.9031099,-118.3363034,C2,G5200,Congressional District 43,3,06,0,15,0,46,0,8,0,76,21,D,2,59,0.0,56.25,0.0,0.0,26.493506493506494,36.844106463878326,17.673267326732674,63.75,109.02173913043478,0.32719665271966525,0.0
437338064,356550,35,116,N,0635,+34.0447493,-117.5834632,C2,G5200,Congressional District 35,2,06,2,8,0,195,0,10,0,83,24,D,1,32,42.5,30.0,0.0,0.0,33.116883116883116,40.23764258555133,20.198019801980198,31.875,59.130434782608695,1.3870292887029287,0.0
250697049,127168051,13,116,N,0613,+37.7789619,-122.2392482,C2,G5200,Congressional District 13,1,06,4,23,0,32,1,16,1,13,87,D,5,45,85.0,86.25,0.0,7.083333333333333,52.98701298701299,6.302281368821292,73.2178217821782,159.375,83.15217391304348,0.22761506276150628,12.142857142857142
-1863415816,807884720,26,116,N,0626,+34.1670228,-119.1299548,C2,G5200,Congressional District 26,3,06,3,13,0,1885,1,12,5,93,62,D,0,56,63.75,48.75,0.0,7.083333333333333,39.74025974025974,45.08555133079848,52.17821782178218,0.0,103.47826086956522,13.407949790794978,60.71428571428571
205463239,66957266,44,116,N,0644,+33.8187502,-118.2509834,C2,G5200,Congressional District 44,1,06,0,1,0,56,0,5,1,53,22,D,1,20,0.0,3.75,0.0,0.0,16.558441558441558,25.693916349809886,18.514851485148515,31.875,36.95652173913044,0.398326359832636,12.142857142857142
-1922776672,15265440,19,116,N,0619,+37.2162355,-121.5290231,C2,G5200,Congressional District 19,3,06,1,9,0,736,0,3,0,60,42,D,5,67,21.25,33.75,0.0,0.0,9.935064935064934,29.08745247148289,35.34653465346535,159.375,123.80434782608695,5.235146443514644,0.0
2147483647,264712627,04,116,N,1904,+42.6286385,-094.6450983,C2,G5200,Congressional District 4,51,19,0,17,0,33422,0,55,1,103,185,R,2,16,0.0,63.75,0.0,0.0,182.14285714285714,49.93346007604563,155.69306930693068,63.75,29.565217391304348,237.72970711297071,12.142857142857142
2147483647,434115836,02,116,N,1902,+41.2085154,-092.1491879,C2,G5200,Congressional District 2,25,19,5,10,0,20546,0,34,1,106,167,D,3,20,106.25,37.5,0.0,0.0,112.59740259740259,51.38783269961977,140.54455445544554,95.625,36.95652173913044,146.1430962343096,12.142857142857142
2147483647,540782812,01,116,N,2701,+43.8989394,-093.7117418,C2,G5200,Congressional District 1,24,27,1,13,0,19041,1,22,1,97,129,R,0,11,21.25,48.75,0.0,7.083333333333333,72.85714285714285,47.02471482889734,108.56435643564356,0.0,20.32608695652174,135.43807531380753,12.142857142857142
1365425974,144398952,03,116,N,2703,+44.9958803,-093.5286204,C2,G5200,Congressional District 3,1,27,0,10,0,699,4,3,0,7,35,D,1,43,0.0,37.5,0.0,28.333333333333332,9.935064935064934,3.393536121673004,29.455445544554454,31.875,79.45652173913044,4.971966527196653,0.0
861318818,84495478,04,116,N,2704,+45.0027128,-092.9773663,C2,G5200,Congressional District 4,2,27,1,17,1,372,4,8,2,21,71,D,1,32,21.25,63.75,63.75,28.333333333333332,26.493506493506494,10.180608365019012,59.75247524752476,31.875,59.130434782608695,2.6460251046025105,24.285714285714285
351540886,16573581,05,116,N,2705,+44.9809623,-093.2941451,C2,G5200,Congressional District 5,2,27,0,30,0,32,7,11,1,8,69,D,5,36,0.0,112.5,0.0,49.583333333333336,36.42857142857142,3.8783269961977185,58.069306930693074,159.375,66.52173913043478,0.22761506276150628,12.142857142857142
1433319197,511621679,49,116,N,0649,+33.3147856,-117.3795192,C2,G5200,Congressional District 49,2,06,8,34,0,935,0,5,2,69,40,D,2,71,170.0,127.5,0.0,0.0,16.558441558441558,33.450570342205324,33.66336633663366,63.75,131.19565217391303,6.650627615062762,24.285714285714285
2147483647,319288355,05,116,N,0605,+38.5157184,-122.4624656,C2,G5200,Congressional District 5,6,06,1,17,0,3592,0,15,1,155,83,D,2,61,21.25,63.75,0.0,0.0,49.675324675324674,75.14258555133081,69.85148514851485,63.75,112.71739130434783,25.54979079497908,12.142857142857142
2147483647,-610599315,24,116,N,0624,+34.9196335,-120.1128450,C2,G5200,Congressional District 24,8,06,9,31,1,4487,0,15,3,180,125,D,2,51,191.25,116.25,63.75,0.0,49.675324675324674,87.26235741444866,105.1980198019802,63.75,94.23913043478261,31.915899581589958,36.42857142857142
2147483647,1071218403,03,116,N,3103,+41.5394730,-100.2229693,C2,G5200,Congressional District 3,66,31,3,8,1,35850,0,64,3,144,186,R,0,7,63.75,30.0,63.75,0.0,211.94805194805195,69.80988593155894,156.53465346534654,0.0,12.934782608695652,255.0,36.42857142857142
1312946783,50712484,02,116,N,3102,+41.2286220,-096.1609050,C2,G5200,Congressional District 2,3,31,1,9,0,738,5,19,1,17,52,R,4,33,21.25,33.75,0.0,35.41666666666667,62.922077922077925,8.241444866920151,43.76237623762376,127.5,60.97826086956522,5.249372384937238,12.142857142857142
238354217,1621914,29,116,N,0629,+34.2666953,-118.4303132,C2,G5200,Congressional District 29,2,06,1,2,0,59,0,8,0,30,15,D,0,17,21.25,7.5,0.0,0.0,26.493506493506494,14.543726235741445,12.623762376237625,0.0,31.41304347826087,0.4196652719665272,0.0
